file,segment,rms_acc,peak_acc,rms_vel,peak_vel,inc_deg,inc_loc,damp,damp_loc
G2_P5_case23.mat,4,0.029899689115455,0.0769765656320442,0.027348462440173,0.049106100448328,0,0,1,5
G2_P5_case23.mat,5,0.0313757223824486,0.108516266291696,0.0306264875972736,0.0518299290719579,0,0,1,5
G2_P5_case23.mat,6,0.0308893974338988,0.0779473869298968,0.0298540732697157,0.0524267609766933,0,0,1,5
G2_P5_case23.mat,7,0.0296661542933968,0.0631260912838603,0.0301751472941102,0.0528335007278525,0,0,1,5
G2_P5_case23.mat,8,0.037119660034732,0.128853965107516,0.0283680846395854,0.0431364494652566,0,0,1,5
G2_P5_case23.mat,9,0.130340427762652,0.932764812779716,0.0376209240798829,0.0716458413801204,0,0,1,5
G2_P5_case23.mat,10,0.127249443482978,1,0.0369970725272136,0.059071859986349,0,0,1,5
G2_P5_case23.mat,11,0.0277610315379639,0.0634511244534735,0.0294855119967361,0.051444217770742,0,0,1,5
G2_P5_case23.mat,12,0.0293496256528015,0.0874161981804411,0.0287321958377491,0.0492688138856286,0,0,1,5
G2_P5_case23.mat,13,0.0561704176927474,0.155889835567046,0.0325596000398682,0.0557104743872637,0,0,1,5
G2_P5_case23.mat,14,0.0882638703557392,0.25426035475547,0.0349074279547025,0.0590338006205357,0,0,1,5
G2_P5_case23.mat,15,0.094289401060548,0.566470304328729,0.036838844927356,0.0627886477095953,0,0,1,5
G2_P5_case23.mat,16,0.0345408066914443,0.0773512624499395,0.0368915884729927,0.0627846961195411,0,0,1,5
G2_P5_case23.mat,17,0.0368905174074088,0.0744027295329852,0.0372180338591964,0.0650790292079852,0,0,1,5
G2_P5_case23.mat,18,0.0460323059668906,0.232819766467707,0.0373820815583825,0.0664003002108254,0,0,1,5
G2_P5_case23.mat,19,0.124622945112675,0.424043338876229,0.0366539880252043,0.0558324352276804,0,0,1,5
G3_P5_case32.mat,1,0.375307550539078,0.569530370651009,0.437558303005791,0.737610386239848,3,4,0,0
G3_P5_case32.mat,2,0.371795441981284,0.454337079220209,0.429874176439846,0.739776752637884,3,4,0,0
G3_P5_case32.mat,3,0.368599322277652,0.434469143933142,0.424384450299911,0.735314431296373,3,4,0,0
G3_P5_case32.mat,4,0.368779986162705,0.385782320005056,0.425267383957092,0.736699506878125,3,4,0,0
G3_P5_case32.mat,5,0.369889459256103,0.383052538823049,0.42654995855508,0.738951243501563,3,4,0,0
G3_P5_case32.mat,6,0.369317188243535,0.384735878146739,0.426052264031366,0.73779485250555,3,4,0,0
G3_P5_case32.mat,7,0.370439720684097,0.386710664612752,0.427276840506533,0.740034076136613,3,4,0,0
G3_P5_case32.mat,8,0.36433888452096,0.410376552781713,0.42376529411311,0.727230590500541,3,4,0,0
G3_P5_case32.mat,9,0.38376243826861,0.828146141497798,0.434146970090147,0.753238049935555,3,4,0,0
G3_P5_case32.mat,10,0.369304090531333,0.386856754495511,0.425996631575792,0.737815813393423,3,4,0,0
G3_P5_case32.mat,11,0.370050907493525,0.380732070232247,0.426956416584661,0.739306207101116,3,4,0,0
G3_P5_case32.mat,12,0.369591822632702,0.398578307833568,0.426342771849121,0.7381381399221,3,4,0,0
G3_P5_case32.mat,13,0.371162821040017,0.415879922451626,0.427880088767547,0.740819697618876,3,4,0,0
G3_P5_case32.mat,14,0.373311557938475,0.45758608816617,0.427580261536177,0.743311819962685,3,4,0,0
G3_P5_case32.mat,15,0.39420692962058,1,0.390110488137196,0.681682521039964,3,4,0,0
G3_P5_case32.mat,16,0.371540967384062,0.397334690220842,0.428931827899328,0.742198345679009,3,4,0,0
G3_P5_case32.mat,17,0.371456171262213,0.386251416479616,0.42840164623388,0.742019865443125,3,4,0,0
G3_P5_case32.mat,18,0.371841180263909,0.438474401408253,0.428326912584204,0.742525571929346,3,4,0,0
G3_P5_case32.mat,19,0.377689296443463,0.542270819228958,0.430038946218563,0.745748338397336,3,4,0,0
G3_P5_case33.mat,1,0.561250061057237,0.995192934476318,0.651394012075168,1.10720040545256,0,0,1,6
G3_P5_case33.mat,2,0.554534224533114,0.632206486852573,0.640896767569336,1.10627310385348,0,0,1,6
G3_P5_case33.mat,3,0.5525310936503,0.605770641951804,0.636943841367254,1.1032062066105,0,0,1,6
G3_P5_case33.mat,4,0.552966149581978,0.571900937940279,0.637424974584766,1.10472367732257,0,0,1,6
G3_P5_case33.mat,5,0.554628963786456,0.574560817826982,0.640166931816495,1.10801959237084,0,0,1,6
G3_P5_case33.mat,6,0.555756014324074,0.63751218928338,0.640538296581118,1.10946966679013,0,0,1,6
G3_P5_case33.mat,7,0.554784196131822,0.596035288174114,0.640043367285651,1.10821314658999,0,0,1,6
G3_P5_case33.mat,8,0.550991690599955,0.596477093497828,0.638600587284246,1.10036600424224,0,0,1,6
G3_P5_case33.mat,9,0.559456673009666,0.701777228136088,0.640559876718135,1.11481685644602,0,0,1,6
G3_P5_case33.mat,10,0.566805719172142,1,0.613925813764093,1.0758665377206,0,0,1,6
G3_P5_case33.mat,11,0.552745123044638,0.568107137533103,0.637960245602689,1.1043141255869,0,0,1,6
G3_P5_case33.mat,12,0.553599361812636,0.570328136318788,0.638871003645623,1.10601061476256,0,0,1,6
G3_P5_case33.mat,13,0.554215619719539,0.585945690657556,0.639351129666755,1.10703524366668,0,0,1,6
G3_P5_case33.mat,14,0.554285354021472,0.616734794255845,0.639366796532269,1.10640505752476,0,0,1,6
G3_P5_case33.mat,15,0.555376679889414,0.624091876432021,0.640655521142145,1.10881164874609,0,0,1,6
G3_P5_case33.mat,16,0.555121552672686,0.57030426613866,0.640539957902221,1.10899753663839,0,0,1,6
G3_P5_case33.mat,17,0.555198256768825,0.572121843955845,0.640411022489725,1.10916189551036,0,0,1,6
