file,segment,rms_acc,peak_acc,rms_vel,peak_vel,rms_pos,peak_pos,zcr,energy_decay_rate,damping_ratio,dominant_freq,inc_deg,inc_loc,damp,damp_loc
G1_P5_case12.mat,2,0.119570869088162,0.291779858030794,0.117423589301228,0.195177490103265,0.0941337662605026,0.206020610271442,0.0197916666666667,0.00196808557004528,-0.0533229786343896,0,1,4,0,0
G1_P5_case12.mat,3,0.098151494676588,0.196686690809367,0.108967323827832,0.188333052171004,0.0844721780306913,0.188564014101227,0.00104166666666667,0.000780072908215016,-0.000172173810198498,0,1,4,0,0
G1_P5_case12.mat,4,0.0957603419735407,0.135040643652289,0.109016087335668,0.189439678319962,0.0842919983163577,0.188481747915689,0,0.000486038583475594,0.0205737020156789,0,1,4,0,0
G1_P5_case12.mat,5,0.0959132560818308,0.148500081713755,0.110230889407529,0.190050762410624,0.0855825804143184,0.190906956976696,0,0.000550140313417517,0.0207735706351624,0,1,4,0,0
G1_P5_case12.mat,6,0.0960471524565008,0.129844595091597,0.109809447937011,0.190127181134101,0.0847696675992735,0.189679001200761,0,0.000449095046407328,0.0112268343733691,0,1,4,0,0
G1_P5_case12.mat,7,0.0955290055688781,0.136927167415527,0.108833629648813,0.188536371901245,0.0843253189903578,0.188370868143491,0,0.000390270976291919,0.00716615818031997,0,1,4,0,0
G1_P5_case12.mat,8,0.0879962395138953,0.268768940041904,0.0951409623226688,0.148272471637709,0.0794097768233406,0.169439103722002,0.01875,0.000924928735927365,-0.0334169838642292,0,1,4,0,0
G1_P5_case12.mat,9,0.175111337825433,0.765615960275167,0.145186433257351,0.2373665382279,0.117732845553171,0.256032495899155,0.0125,0.00454728903503081,0.182510755214323,0,1,4,0,0
G1_P5_case12.mat,10,0.0943238182062952,0.0989284281064806,0.108977627577878,0.188422507295066,0.0844857977535519,0.188618907255009,0,5.25201790396813e-05,2.68483051871596e-05,0,1,4,0,0
G1_P5_case12.mat,11,0.0951815953750166,0.125364763742801,0.109048983255184,0.189081257561626,0.0843760134614211,0.188586898043961,0,0.000348264216391323,-0.000465466434212659,0,1,4,0,0
G1_P5_case12.mat,12,0.0969271847295505,0.137623298991143,0.110463623480188,0.191085088927354,0.0855034970491415,0.19107170352592,0,0.000564869027390768,-0.0096138379848326,0,1,4,0,0
G1_P5_case12.mat,13,0.104188878270177,0.194597863467466,0.11117915695514,0.193128912429168,0.0856773290813648,0.191955154952773,0.00208333333333333,0.0015344613147846,-0.0177702766074818,0,1,4,0,0
G1_P5_case12.mat,14,0.188832983945189,1,0.111450773557011,0.188623661649168,0.0874684480052118,0.193670222458062,0.0208333333333333,0.0079818182601206,-0.0364712523103989,0,1,4,0,0
G1_P5_case12.mat,15,0.130892165551085,0.5118177128092,0.116301777587155,0.200371806118707,0.0892160704117112,0.200112843274015,0.01875,0.00236297064928898,-0.308602807539366,0,1,4,0,0
G1_P5_case12.mat,16,0.0982706397088949,0.128374028284535,0.112220470138266,0.194728322664363,0.0867940629188333,0.194075946394261,0,0.000467357602267901,0.000834297152512489,0,1,4,0,0
G1_P5_case12.mat,17,0.101568847932083,0.150420935542457,0.115670122862739,0.200818731910345,0.0896205210489022,0.200194256637491,0,0.00049842249301897,0.0258167211426825,0,1,4,0,0
G1_P5_case12.mat,18,0.130559646237077,0.568434958900569,0.124818248957511,0.217544902455708,0.0919313234349089,0.211356644303094,0.009375,0.00142803073896365,0.0307185391995073,0,1,4,0,0
G1_P5_case12.mat,19,0.142217153805589,0.357907281725472,0.118544993934004,0.224158118828857,0.0839275469981836,0.196882845060838,0.0239583333333333,0.0024992572489747,-0.235145529310608,0,1,4,0,0
G2_P5_case22.mat,1,0.16580416583147,0.517671523776168,0.059014735813483,0.142623479711618,0.0227699040711216,0.0717867374468912,0.0177083333333333,0.00405265423037802,0.00540051839451765,0.5,2,5,0,0
G2_P5_case22.mat,2,0.119171396393525,0.314433520205726,0.0824948267963293,0.148318676346655,0.0624413762078269,0.141298634207297,0.0458333333333333,0.00241822411809359,0.193186762913708,0,2,5,0,0
G2_P5_case22.mat,3,0.0936436459473226,0.233357457932438,0.088125374458808,0.150750721391361,0.068425999115886,0.152494392812189,0.0177083333333333,0.00125828624706375,0.0594894347954669,0,2,5,0,0
G2_P5_case22.mat,4,0.0795050302844829,0.137142798150069,0.0885025870554861,0.152866110958804,0.068583618715397,0.153113400942127,0,0.000549710406193029,0.000711311988491059,0,2,5,0,0
G2_P5_case22.mat,5,0.0753800615674327,0.119656511610143,0.0849715358052215,0.146351988777164,0.0661198415775301,0.147320435210923,0,0.000625122826807692,-0.00760832598463103,0,2,5,0,0
G2_P5_case22.mat,6,0.0754425509897508,0.118636465466714,0.0822920319028748,0.144032734487863,0.0630720131569188,0.141713104525837,0.00208333333333333,0.000560039438884412,0.00416806198149259,0,2,5,0,0
G2_P5_case22.mat,7,0.0753764011946995,0.123417167909597,0.0850546125787389,0.147650996733083,0.0659726999516934,0.1472903602214,0,0.000375406435543364,-0.0261302032810648,0,2,5,0,0
G2_P5_case22.mat,8,0.0988112209042768,0.269941468044714,0.087106477240682,0.171823140621224,0.0637939790530054,0.14743230173508,0.00625,0.00132981501770957,0.0408820269384012,0,2,5,0,0
